Title,Date,Style,RepMax,PrimaryMovement,BestScore,Notes
Strength Test 1,5/7/2024,Time,,,2:57,
Annie,5/17/2024,Time,,,5:57,
Murph,5/25/2024,Time,,,53:30,Partitioned
Strength,10/28/2024,Reps,,,78,
Burn Notice,10/28/2024,Rounds,,,4 + 32,
"""Heighten Up""",11/5/2024,Reps,,,184,
CHAD1000X,11/11/2024,Time,,,57:23,
DT,11/18/2024,Time,,,11:04,
"?Ren?""",6/30/2025,Time,,,35:59,
Weekly Challenge!,7/7/2025,Time,,,7:03,
Death By Burpees,7/21/2025,Rounds,,,15 + 12,
Conditioning,8/11/2025,Time,,,27:20,
Rowvember,11/1/2025,Distance,,,1000,
Rowvember,11/2/2025,Distance,,,1200,
Rowvember,1/3/1990,Distance,,,1000,
Rowvember,1/4/1990,Distance,,,8000,
Rowvember,1/5/1990,Distance,,,4000,
CHAD1000X,11/11/2025,Time,,,56:43,Solo
5k Row,11/13/2025,Time,,,19:20,
Metcon,11/21/2025,Time,,,4:04,
Rowing Kelly,11/24/2025,Time,,,27:11,
Rowvember,1/25/1990,Distance,,,21100,
CrossFit Total,12/1/2025,Reps,,,960,
Metcon,12/22/2025,Reps,,,278,
CrossFit Total,1/3/2026,Reps,,,1000,
2k Ski,1/29/1990,Time,,,7:59,
Metcon,1/6/2026,Reps,,,91,
LYFE35 Daily,1/1/1990,Reps,,,5,
Metcon,1/13/2026,Time,,,18:03,
LYFE35 Daily,1/3/1990,Reps,,,5,
LYFE35 Daily,1/2/1990,Reps,,,5,
Metcon,1/15/2026,Time,,,6:53,
LYFE35 Daily,1/4/1990,Reps,,,5,
LYFE35 Daily,1/5/1990,Reps,,,5,
LYFE35 Daily,1/6/1990,Reps,,,5,
LYFE35 Daily,1/7/1990,Reps,,,4,cheated on nutrition
LYFE35 Weekly Points,1/7/1990,Reps,,,34,
LYFE35 Weekly Days,1/7/1990,Reps,,,6,
Karen,1/19/2026,Time,,,6:13,
LYFE35 Daily,1/8/1990,Reps,,,5,
LYFE35 Daily,1/9/1990,Reps,,,5,
Metcon,1/20/2026,Time,,,12:58,
LYFE35 Daily,1/10/1990,Reps,,,5,
LYFE35 Daily,1/11/1990,Reps,,,5,
LYFE35 Daily,1/12/1990,Reps,,,5,
LYFE35 Daily,1/13/1990,Reps,,,5,
LYFE35 Daily,1/14/1990,Reps,,,5,
LYFE35 Weekly Points,1/14/1990,Reps,,,35,
LYFE35 Weekly Days,1/14/1990,Reps,,,7,
LYFE35 Daily,1/15/1990,Reps,,,5,
LYFE35 Daily,1/16/1990,Reps,,,5,
Metcon,2/2/2026,Time,,,14:33,
LYFE35 Weekly Points,1/21/1990,Reps,,,34,
LYFE35 Weekly Days,1/21/1990,Reps,,,6,
LYFE35 Daily,1/20/1990,Reps,,,5,
LYFE35 Daily,1/19/1990,Reps,,,5,
LYFE35 Daily,1/21/1990,Reps,,,4,
LYFE35 Daily,1/18/1990,Reps,,,5,
LYFE35 Daily,1/17/1990,Reps,,,5,
LYFE35 Daily,1/22/1990,Reps,,,5,
LYFE35 Daily,1/23/1990,Reps,,,5,
Metcon,2/6/2026,Time,,,16:27,
LYFE35 Daily,1/24/1990,Reps,,,5,
LYFE35 Daily,1/25/1990,Reps,,,5,
